Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,ClassLabel
Excellent,Excellent,AVERAGE,Pune University,B+,0,Low,no
Good,Good,GOOD,Other University,A-,0,Low,no
Good,Low,AVERAGE,College of Engineering,A-,0,Low,no
Excellent,Good,GOOD,Other University,B,0,High,no
Excellent,Low,AVERAGE,Hyderabad University,B+,0,Low,no
Good,Good,AVERAGE,VIT,B+,0,Low,no
Good,Average,AVERAGE,College of Engineering,B,0,Low,no
Excellent,Good,AVERAGE,Other University,A-,0,Low,no
Excellent,Average,GOOD,Other University,B+,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Good,Excellent,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,NIT,B+,0,Low,no
Good,Excellent,GOOD,Mumbai University,B,0,Low,no
Good,Good,GOOD,Hyderabad University,A-,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Excellent,Good,AVERAGE,College of Engineering,A-,0,Low,no
Excellent,Good,GOOD,Other University,B+,0,Low,no
Good,Excellent,AVERAGE,Hyderabad University,B+,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Excellent,Good,AVERAGE,Mumbai University,B,0,Low,no
Good,Average,AVERAGE,Mumbai University,B+,0,Low,no
Good,Good,AVERAGE,IIT,B+,0,Low,no
Good,Average,AVERAGE,Other University,B,0,Low,no
Excellent,Excellent,AVERAGE,Pune University,B+,0,Low,no
Good,Good,AVERAGE,VIT,A-,0,Low,no
Good,Average,AVERAGE,Other University,B+,0,Low,no
Good,Good,AVERAGE,Mumbai University,B+,0,Low,no
Good,Excellent,GOOD,BITS University,B+,0,Low,no
Good,Excellent,HIGH,Mumbai University,B-,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Excellent,Excellent,AVERAGE,Other University,B+,0,Low,no
Excellent,Good,AVERAGE,Other University,A-,0,Low,no
Average,Excellent,AVERAGE,Other University,B,0,Low,no
Average,Good,AVERAGE,College of Engineering,B-,0,Low,no
Average,Good,AVERAGE,College of Engineering,B-,0,Low,no
Good,Excellent,GOOD,Other University,A-,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Good,Bad,AVERAGE,Other University,B+,0,Low,no
Excellent,Excellent,AVERAGE,Other University,B+,0,Low,no
Good,Average,AVERAGE,Hyderabad University,B-,0,Low,no
Good,Bad,AVERAGE,Other University,B+,0,Low,no
Average,Good,AVERAGE,Other University,A-,0,Low,no
Good,Excellent,AVERAGE,College of Engineering,A-,0,Low,no
Good,Excellent,AVERAGE,Other University,B+,0,Low,no
Good,Average,AVERAGE,Mumbai University,B-,0,Low,no
Good,Average,AVERAGE,College of Engineering,A-,0,Low,no
Excellent,Excellent,GOOD,Other University,A-,0,Low,no
Average,Good,AVERAGE,Mumbai University,B,0,Low,no
Excellent,Good,GOOD,Other University,A-,0,Low,no
Good,Average,AVERAGE,College of Engineering,A-,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Good,Good,AVERAGE,Other University,B-,0,Low,no
Good,Average,AVERAGE,College of Engineering,A-,0,Low,no
Excellent,Good,AVERAGE,Other University,A-,0,Low,no
Excellent,Good,AVERAGE,Mumbai University,A-,0,Low,no
Good,Average,AVERAGE,Mumbai University,B,0,Low,no
Good,Average,AVERAGE,Mumbai University,B,0,Low,no
Good,Excellent,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Other University,B,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Hyderabad University,A-,0,Low,no
Good,Good,AVERAGE,College of Engineering,B+,0,Low,no
Excellent,Excellent,AVERAGE,IIT,A-,0,High,no
Good,Average,AVERAGE,Other University,A-,0,Low,no
Excellent,Good,AVERAGE,Other University,B+,0,Low,no
Excellent,Excellent,AVERAGE,BITS University,B+,0,Low,no
Good,Average,AVERAGE,Pune University,B+,0,Low,no
Good,Good,AVERAGE,Hyderabad University,A-,0,Low,no
Excellent,Excellent,AVERAGE,Mumbai University,B,0,Low,no
Excellent,Good,AVERAGE,Mumbai University,B+,0,Low,no
Excellent,Good,AVERAGE,Hyderabad University,B+,0,Low,no
Good,Average,AVERAGE,Hyderabad University,B+,0,Low,no
Average,Good,AVERAGE,Other University,B-,0,Low,no
Good,Good,AVERAGE,VIT,A-,0,Low,no
Good,Good,GOOD,Mumbai University,B,0,Low,no
Good,Good,AVERAGE,Pune University,B,0,Low,no
Good,Good,GOOD,Other University,B+,0,Low,no
Good,Excellent,AVERAGE,NIT,B+,0,Low,no
Excellent,Average,AVERAGE,Mumbai University,B,0,Low,no
Excellent,Good,AVERAGE,Other University,B+,0,Low,no
Good,Good,AVERAGE,Mumbai University,B-,0,Low,no
Good,Good,GOOD,Other University,B+,0,Low,no
Good,Good,GOOD,Hyderabad University,A-,0,Low,no
Excellent,Good,AVERAGE,Mumbai University,B,0,Low,no
Excellent,Average,GOOD,Mumbai University,B,0,Low,no
Excellent,Good,GOOD,Mumbai University,B,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Excellent,Good,AVERAGE,Other University,B+,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Mumbai University,B+,0,Low,no
Good,Good,AVERAGE,VIT,B+,0,Low,no
Excellent,Low,AVERAGE,Other University,B+,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,High,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Excellent,Average,AVERAGE,VIT,B+,0,Low,no
Good,Good,AVERAGE,Mumbai University,B+,0,Low,no
Good,Average,AVERAGE,Hyderabad University,A-,0,Low,no
Excellent,Average,AVERAGE,Mumbai University,B+,0,Low,no
Good,Good,AVERAGE,NIT,B+,0,Low,no
Excellent,Bad,AVERAGE,Hyderabad University,A-,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Good,Good,GOOD,Other University,B+,0,Low,no
Good,Average,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,High,no
Excellent,Good,AVERAGE,Other University,A-,0,Low,no
Good,Good,GOOD,Other University,B+,0,Low,no
Excellent,Low,AVERAGE,Mumbai University,B-,0,Low,no
Good,Average,LOW,VIT,A-,0,Low,no
Excellent,Excellent,GOOD,Mumbai University,B,0,Low,no
Good,Good,AVERAGE,Mumbai University,B,0,Low,no
Good,Good,AVERAGE,Hyderabad University,A-,0,Low,no
Average,Low,AVERAGE,Hyderabad University,B+,0,Low,no
Excellent,Good,AVERAGE,Mumbai University,B,0,Low,no
Excellent,Low,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Mumbai University,B+,0,Low,no
Good,Average,AVERAGE,Other University,B-,0,Low,no
Excellent,Average,GOOD,College of Engineering,B,0,Low,no
Good,Excellent,AVERAGE,Other University,A-,0,Low,no
Good,Good,GOOD,Other University,B,0,Low,no
Excellent,Good,AVERAGE,Hyderabad University,B+,0,Low,no
Good,Excellent,AVERAGE,Mumbai University,A-,0,Low,no
Excellent,Bad,AVERAGE,Other University,A-,0,Low,no
Average,Excellent,AVERAGE,Mumbai University,B-,0,Low,no
Average,Excellent,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Pune University,B-,0,Low,no
Average,Excellent,AVERAGE,NIT,A-,0,Low,no
Average,Average,AVERAGE,Hyderabad University,B-,0,Low,no
Good,Good,AVERAGE,Pune University,B,0,Low,no
Good,Good,AVERAGE,Other University,B,0,Low,no
Good,Good,AVERAGE,Other University,B,0,Low,no
Average,Good,AVERAGE,Pune University,B+,0,Low,no
Good,Good,GOOD,Other University,A-,0,Low,no
Good,Good,AVERAGE,Hyderabad University,B+,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Excellent,Good,AVERAGE,Pune University,B,0,Low,no
Good,Average,AVERAGE,Hyderabad University,B+,0,Low,no
Good,Average,AVERAGE,Hyderabad University,B+,0,Low,no
Good,Good,AVERAGE,College of Engineering,B+,0,Low,no
Average,Average,AVERAGE,Other University,B+,0,Low,no
Excellent,Good,AVERAGE,Other University,A-,0,Low,no
Excellent,Excellent,GOOD,Other University,A-,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Excellent,Good,AVERAGE,Other University,B,0,High,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Good,Excellent,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,College of Engineering,B,0,Low,no
Good,Excellent,GOOD,Mumbai University,B+,0,Low,no
Good,Low,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Mumbai University,B,0,Low,no
Excellent,Excellent,AVERAGE,Mumbai University,B,0,Low,no
Good,Good,AVERAGE,Mumbai University,B-,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Hyderabad University,B+,0,Low,no
Good,Excellent,AVERAGE,Other University,B-,0,Low,no
Good,Excellent,AVERAGE,Hyderabad University,B+,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Pune University,B,1,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Good,Excellent,AVERAGE,Other University,B,0,Low,no
Good,Excellent,AVERAGE,Hyderabad University,A-,0,Low,no
Average,Average,AVERAGE,Mumbai University,B+,0,Low,no
Good,Good,AVERAGE,IIT,A-,0,Low,no
Excellent,Good,AVERAGE,Other University,B+,0,High,no
Excellent,Low,AVERAGE,Mumbai University,B+,0,Low,no
Good,Good,AVERAGE,Other University,A,0,Low,no
Good,Average,AVERAGE,College of Engineering,B+,0,Low,no
Good,Excellent,AVERAGE,Mumbai University,B,0,Low,no
Good,Excellent,AVERAGE,Other University,A-,0,Low,no
Excellent,Excellent,GOOD,Mumbai University,B,0,Low,no
Good,Good,AVERAGE,College of Engineering,B+,0,Low,no
Good,Good,AVERAGE,BITS University,A-,0,Low,no
Excellent,Excellent,AVERAGE,Other University,A-,2,Low,no
Good,Good,AVERAGE,College of Engineering,A-,0,Low,no
Excellent,Good,AVERAGE,Mumbai University,B,0,Low,no
Good,Excellent,AVERAGE,Other University,B+,0,Low,no
Excellent,Average,AVERAGE,Other University,B,0,Low,no
Excellent,Excellent,AVERAGE,NIT,B+,0,Low,no
Good,Good,AVERAGE,Other University,B-,0,Low,no
Excellent,Average,AVERAGE,Other University,A-,0,High,no
Good,Good,AVERAGE,Mumbai University,B+,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Good,Good,GOOD,Other University,B-,0,Low,no
Good,Good,AVERAGE,Other University,B-,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Excellent,Average,AVERAGE,Other University,A-,0,Low,no
Excellent,Excellent,AVERAGE,Pune University,B,0,Low,no
Good,Good,AVERAGE,Mumbai University,B+,0,Low,no
Good,Good,AVERAGE,Mumbai University,B+,0,Low,no
Good,Good,AVERAGE,Mumbai University,B,0,Low,no
Good,Good,AVERAGE,IIT,A-,0,Low,no
Good,Average,AVERAGE,Pune University,B,0,Low,no
Excellent,Average,AVERAGE,Pune University,B,0,Low,no
Excellent,Good,GOOD,Mumbai University,B,0,Low,no
Excellent,Average,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Hyderabad University,B+,0,High,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Excellent,Excellent,HIGH,Other University,B,0,Low,no
Good,Bad,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Pune University,B,0,Low,no
Good,Good,AVERAGE,Mumbai University,B,0,Low,no
Good,Good,AVERAGE,Hyderabad University,B+,0,Low,no
Good,Good,AVERAGE,Pune University,B,0,Low,no
Good,Good,GOOD,Mumbai University,B,0,Low,no
Low,Bad,HIGH,Other University,B+,0,Low,no
Average,Good,AVERAGE,Mumbai University,B-,0,Low,no
Excellent,Excellent,AVERAGE,Other University,B,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,High,no
Excellent,Average,AVERAGE,Other University,B+,0,Low,no
Excellent,Good,AVERAGE,Other University,B+,0,Low,no
Excellent,Low,AVERAGE,Other University,B,0,Low,no
Excellent,Excellent,AVERAGE,Mumbai University,B+,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Good,Good,AVERAGE,College of Engineering,B,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Excellent,Average,GOOD,Mumbai University,B+,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Good,Average,AVERAGE,Other University,B,0,Low,no
Good,Good,GOOD,Other University,B+,0,High,no
Good,Excellent,AVERAGE,Other University,B,0,Low,no
Good,Average,AVERAGE,Other University,B+,0,Low,no
Excellent,Good,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,College of Engineering,B+,0,Low,no
Good,Good,AVERAGE,Other University,B-,0,Low,no
Good,Average,AVERAGE,Other University,A-,0,Low,no
Good,Excellent,GOOD,Other University,B+,0,Low,no
Good,Good,AVERAGE,Pune University,B+,0,Low,no
Excellent,Good,AVERAGE,Other University,B-,0,Low,no
Excellent,Good,AVERAGE,VIT,A-,0,Low,no
Good,Good,AVERAGE,Mumbai University,B+,0,Low,no
Good,Excellent,GOOD,Mumbai University,B,0,Low,no
Excellent,Excellent,AVERAGE,Other University,A-,0,High,no
Good,Average,AVERAGE,Mumbai University,B,0,Low,no
Excellent,Average,AVERAGE,Mumbai University,B-,0,Low,no
Excellent,Average,AVERAGE,Pune University,B,0,Low,no
Good,Good,GOOD,Mumbai University,B,0,Low,no
Excellent,Good,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Excellent,Good,AVERAGE,Mumbai University,B+,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Good,Good,AVERAGE,VIT,B,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Excellent,Excellent,GOOD,Mumbai University,B+,0,Low,no
Excellent,Low,AVERAGE,Hyderabad University,B+,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Excellent,Average,AVERAGE,Hyderabad University,B+,0,Low,no
Good,Low,AVERAGE,Other University,B-,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Good,Good,GOOD,Pune University,B+,0,Low,no
Good,Good,AVERAGE,Other University,B,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Good,Good,GOOD,Mumbai University,B+,0,Low,no
Good,Average,AVERAGE,Other University,B-,0,Low,no
Good,Good,GOOD,NIT,B-,0,Low,no
Good,Good,AVERAGE,Pune University,B+,0,Low,no
Good,Good,AVERAGE,Mumbai University,B+,0,Low,no
Excellent,Good,AVERAGE,Other University,B+,0,Low,no
Excellent,Low,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Hyderabad University,A-,0,Low,no
Good,Excellent,GOOD,Other University,B,0,Low,no
Good,Bad,AVERAGE,Other University,B-,0,Low,no
Excellent,Good,AVERAGE,Mumbai University,B+,0,Low,no
Average,Good,GOOD,Other University,B+,0,Low,no
Good,Excellent,AVERAGE,Other University,A-,0,Low,no
Good,Excellent,AVERAGE,Pune University,B,0,Low,no
Good,Good,AVERAGE,Pune University,B,0,Low,no
Good,Good,AVERAGE,Other University,B-,0,Low,no
Good,Excellent,GOOD,College of Engineering,A-,0,Low,no
Excellent,Good,AVERAGE,Other University,B+,0,Low,no
Good,Good,AVERAGE,VIT,A-,0,Low,no
Excellent,Excellent,GOOD,Mumbai University,B+,0,Low,no
Good,Good,AVERAGE,Pune University,A-,0,Low,no
Excellent,Good,AVERAGE,Mumbai University,B,0,Low,no
Good,Good,GOOD,Hyderabad University,A-,0,Low,no
Excellent,Low,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Pune University,B-,0,Low,no
Good,Good,GOOD,Other University,B,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Good,Good,AVERAGE,Hyderabad University,A-,0,Low,no
Excellent,Average,AVERAGE,Other University,B+,0,Low,no
