Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,ClassLabel
Excellent,Excellent,LOW,Mumbai University,B,0,Low,yes
Good,Excellent,LOW,Pune University,B+,1,High,yes
Excellent,Good,LOW,Mumbai University,B+,0,Low,yes
Excellent,Good,AVERAGE,Other University,A-,0,High,yes
Average,Good,GOOD,Other University,B,0,Low,yes
Excellent,Excellent,LOW,Other University,A-,0,Low,yes
Excellent,Excellent,LOW,Mumbai University,B+,0,Low,yes
Low,Bad,HIGH,NIT,B+,0,Low,yes
Good,Good,AVERAGE,Mumbai University,B,0,Low,yes
Good,Excellent,LOW,Other University,A-,0,High,yes
Excellent,Good,AVERAGE,BITS University,B+,0,Low,yes
Excellent,Excellent,LOW,Mumbai University,B,1,Low,yes
Good,Good,LOW,Mumbai University,B+,0,Low,yes
Good,Good,GOOD,Other University,A-,0,Low,yes
Excellent,Good,AVERAGE,Other University,A,0,Low,yes
Good,Good,LOW,Other University,B+,0,Low,yes
Excellent,Good,GOOD,Mumbai University,B+,0,Low,yes
Good,Excellent,GOOD,Other University,A-,0,Low,yes
Excellent,Excellent,LOW,Other University,B+,0,Low,yes
Excellent,Excellent,LOW,Mumbai University,B+,0,Low,yes
Excellent,Excellent,GOOD,Pune University,B+,0,Low,yes
Good,Good,LOW,Other University,A-,0,Low,yes
Excellent,Excellent,AVERAGE,Other University,A-,0,Low,yes
Good,Excellent,LOW,Mumbai University,B+,0,Low,yes
Good,Excellent,GOOD,NIT,A-,2,Low,yes
Excellent,Good,GOOD,Mumbai University,B+,0,Low,yes
Good,Excellent,GOOD,Pune University,B+,0,Low,yes
Excellent,Good,AVERAGE,Mumbai University,B+,0,Low,yes
Good,Excellent,GOOD,NIT,A-,0,Low,yes
Good,Excellent,AVERAGE,Other University,B+,0,Low,yes
Good,Excellent,LOW,Other University,A-,0,Low,yes
Excellent,Low,GOOD,Mumbai University,B+,0,Low,yes
Excellent,Good,LOW,Other University,B+,0,Low,yes
Low,Bad,HIGH,Mumbai University,B+,0,Low,yes
Good,Excellent,GOOD,Pune University,B+,0,Low,yes
Good,Good,LOW,Other University,A-,0,Low,yes
Good,Excellent,GOOD,NIT,A-,0,Low,yes
Good,Good,AVERAGE,Other University,B+,1,Low,yes
Good,Good,AVERAGE,Other University,A-,0,Low,yes
